MyUnknownColumn,Make,Model,Variant,Complete Name,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Height,Length,Width,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Seating_Capacity,Type,Airbags,Kerb_Weight,Front_Track,Rear_Track,Power,Torque,Wheelbase,Minimum_Turning_Radius
770,Kia,Seltos,1.4,Kia Seltos 1.4,1379000,1353,4,4,FWD,In-line,BS VI,50,Petrol,SUV,1645,4315,1800,5,16.1,6,190,5,Manual,2,1785,1490,1540,21.89,161.33,2610,5.3
806,Kia,Seltos,1.4,Kia Seltos 1.4,1529000,1353,4,4,FWD,In-line,BS VI,50,Petrol,SUV,1645,4315,1800,5,16.1,6,190,5,Manual,4,1785,1490,1540,12.36,161.33,2610,5.3
835,Kia,Seltos,1.4,Kia Seltos 1.4,1629000,1353,4,4,FWD,In-line,BS VI,50,Petrol,SUV,1645,4315,1800,5,16.1,6,190,5,Manual,4,1785,1490,1540,240.83,161.33,2610,5.3
607,Hyundai,Creta,1.6,Hyundai Creta 1.6,999990,1591,4,4,FWD,In-line,BS IV,55,Petrol,SUV,1630,4270,1780,5,15.29,6,190,5,Manual,2,1785,1490,1540,41.33,31.13,2590,5.2
649,Hyundai,Creta,1.6,Hyundai Creta 1.6,1092192,1591,4,4,FWD,In-line,BS IV,55,Petrol,SUV,1630,4270,1780,5,15.29,6,190,5,Manual,2,1785,1490,1540,10.33,31.13,2590,5.2
715,Hyundai,Creta,1.6,Hyundai Creta 1.6,1232534,1591,4,4,FWD,In-line,BS IV,55,Petrol,SUV,1630,4270,1780,5,15.29,6,190,5,Manual,2,1180,1490,1540,11.33,31.13,2590,5.2
735,Hyundai,Creta,Sports Edition Petrol,Hyundai Creta Sports Edition Petrol,1279983,1591,4,4,FWD,In-line,BS IV,55,Petrol,SUV,1630,4270,1780,5,15.29,6,190,5,Manual,2,1180,1490,1540,13.33,31.13,2590,5.2
737,Hyundai,Creta,1.6,Hyundai Creta 1.6,1287041,1591,4,4,FWD,In-line,BS IV,55,Petrol,SUV,1630,4270,1780,5,15.29,6,190,5,Automatic,2,1180,1490,1540,22.5,31.13,2590,5.2
769,Hyundai,Creta,1.6,Hyundai Creta 1.6,1377363,1591,4,4,FWD,In-line,BS IV,55,Petrol,SUV,1630,4270,1780,5,15.29,6,190,5,Automatic,2,1180,1490,1540,17.57,31.13,2590,5.2
773,Hyundai,Creta,1.6,Hyundai Creta 1.6,1394437,1591,4,4,FWD,In-line,BS IV,55,Petrol,SUV,1630,4270,1780,5,15.29,6,190,5,Manual,5,1180,1490,1540,17.4,31.13,2590,5.2
786,Hyundai,Creta,1.6,Hyundai Creta 1.6,1422937,1591,4,4,FWD,In-line,BS IV,55,Petrol,SUV,1630,4270,1780,5,15.29,6,190,5,Manual,5,1180,1490,1540,17.4,31.13,2590,5.2
16,Maruti Suzuki,Eeco,5,Maruti Suzuki Eeco 5,352136,1196,4,4,RWD,In-line,BS VI,40,Petrol,MPV,1800,3675,1475,5,15,5,160,5,Manual,1,920,1280,1290,61.67,33.67,2350,4.5
29,Maruti Suzuki,Eeco,7,Maruti Suzuki Eeco 7,380573,1196,4,4,FWD,In-line,BS VI,40,Petrol,MPV,1800,3675,1475,5,15,5,160,7,Manual,1,940,1280,1290,55.33,33.67,2350,4.5
33,Maruti Suzuki,Eeco,5,Maruti Suzuki Eeco 5,392967,1196,4,4,RWD,In-line,BS VI,40,Petrol,MPV,1800,3675,1475,5,15,5,160,5,Manual,2,928,1280,1290,50,33.67,2350,4.5
,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
