,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Height,Length,Width,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Seating_Capacity,Type,Airbags,Kerb_Weight,Front_Track,Rear_Track,Power,Torque,Wheelbase,Minimum_Turning_Radius
317,Hyundai,Xcent,1.2,742033,1120,3,4,FWD,In-line,BS IV,43,Diesel,Sedan,1520,3995,1660,4,23,5,165,5,Manual,2,1100,1475,1493,16.67,102.86,2425,4.7
318,Nissan,Micra,Xld (O),743504,1461,4,8,FWD,In-line,BS IV,41,Diesel,Hatchback,1525,3825,1665,5,23.08,5,150,5,Manual,2,1785,1490,1540,16.67,80,2450,4.65
319,Tata,Altroz,Xz Petrol,744000,1199,3,4,FWD,In-line,BS VI,37,Petrol,Hatchback,1523,3990,1755,5,23,5,165,5,Manual,2,1785,1490,1540,19.22,34.24,2501,5
320,Toyota,Etios Liva,Vxd,745000,1364,4,2,FWD,In-line,BS IV,45,Diesel,Hatchback,1510,3884,1695,5,23.59,5,170,5,Manual,2,895,1468,1474,19.22,94.44,2460,4.8
321,Honda,Jazz,V Petrol,745000,1199,4,4,FWD,In-line,BS IV,40,Petrol,Hatchback,1544,3955,1694,5,18.2,5,165,5,Manual,2,1042,1490,1475,32,22.92,2530,5.1
322,Maruti Suzuki,Swift,Vdi Amt,745000,1248,4,4,FWD,In-line,BS IV,37,Diesel,Hatchback,1530,3840,1735,5,25.2,5,165,5,Automatic,2,965,1530,1530,16.67,95,2450,4.8
323,Ford,Freestyle,1.5L Tdci Trend Plus,745900,1498,3,4,FWD,In-line,BS IV,42,Diesel,Crossover,1570,3954,1737,5,24.4,5,190,5,Manual,2,1068,1490,1540,16.67,122.86,2490,5
324,Maruti Suzuki,Baleno,1.3,746621,1248,4,4,FWD,In-line,BS IV,37,Diesel,Hatchback,1510,3995,1745,5,27.39,5,170,5,Manual,2,970,1515,1525,13.83,95,2520,4.9
325,Fiat,Punto Evo,1.3,747774,1248,4,4,FWD,In-line,BS IV,45,Diesel,Hatchback,1525,3989,1687,5,21.2,5,185,5,Manual,2,1095,1490,1540,13.83,112.57,2510,5.2
326,Mahindra,Kuv100 Nxt,K6+ D 5Str,748128,1198,3,4,FWD,In-line,BS IV,35,Diesel,Hatchback,1655,3700,1735,5,25.32,5,170,5,Manual,2,1785,1490,1490,13.83,108.57,2385,5.2
327,Mahindra,Verito,1.5,748370,1461,4,3,FWD,In-line,BS IV,50,Diesel,Sedan,1540,4277,1740,4,21,5,172,5,Manual,2,1140,1080,1600,13.83,80,2630,5.25
328,Tata,Tigor,Revotron Xza Plus,749000,1199,3,4,FWD,In-line,BS VI,35,Petrol,Sedan,1537,3992,1677,4,23,5,170,5,AMT,2,992,1490,1540,13.83,34.24,2450,5.1
329,Mahindra,Bolero Power Plus,Lx,749192,1493,4,2,RWD,In-line,BS IV,60,Diesel,SUV,1880,3995,1745,5,16.5,5,180,7,Manual,1,1615,1490,1540,13.85,139.29,2680,5.8
330,Mahindra,Verito Vibe,D6,750428,1461,4,2,FWD,In-line,BS IV,50,Diesel,Hatchback,1540,3991,1740,5,20.08,5,172,5,Manual,1,1155,1490,1540,24.52,80,2630,5.25
331,Fiat,Linea Classic,1.3,751203,1248,4,4,FWD,In-line,BS IV,45,Diesel,Sedan,1487,4560,1730,4,19.5,5,185,5,Manual,2,1210,1490,1540,24.52,112.57,2603,5.4
332,Hyundai,Elite I20,Sportz Plus Dual Tone,751693,1197,4,4,FWD,In-line,BS IV,45,Petrol,Hatchback,1505,3985,1734,5,18.6,5,170,5,Manual,2,1060,1505,1503,24.52,28.75,2570,5.2
333,Mahindra,Kuv100 Nxt,K6+ D 6Str,754548,1198,3,4,FWD,In-line,BS IV,35,Diesel,Hatchback,1655,3700,1735,5,25.32,5,170,6,Manual,2,1785,1490,1490,24.52,108.57,2385,5.2
334,Ford,Freestyle,1.2L Ti-Vct Titanium Plus,756400,1194,3,4,FWD,In-line,BS IV,42,Petrol,Hatchback,1570,3954,1737,5,19,5,190,5,Manual,5,1044,1490,1540,46.25,28.24,2490,5
335,Toyota,Etios Liva,Dual Tone Vxd,756700,1364,4,2,FWD,In-line,BS IV,45,Diesel,Hatchback,1510,3884,1695,5,23.59,5,170,5,Manual,2,895,1468,1474,25,94.44,2460,4.8
336,Maruti Suzuki,Swift,Zdi,757000,1248,4,4,FWD,In-line,BS IV,37,Diesel,Hatchback,1530,3840,1735,5,25.2,5,163,5,Manual,2,975,1520,1520,46.25,95,2450,4.8
337,Maruti Suzuki,Dzire,Vdi,757622,1248,4,4,FWD,In-line,BS IV,37,Diesel,Sedan,1515,3995,1735,4,28.4,5,163,5,Manual,2,967,1490,1540,25,95,2450,4.8
338,Maruti Suzuki,Swift,Zxi Plus,758000,1197,4,4,FWD,In-line,BS VI,37,Petrol,Hatchback,1530,3840,1735,5,20.4,5,163,5,Manual,2,880,1520,1520,46.25,26.9,2450,4.8
339,Toyota,Glanza,V,758200,1197,4,4,FWD,In-line,BS VI,37,Petrol,Hatchback,1540,3995,1745,5,21.01,5,165,5,Manual,2,890,1490,1540,25,26.9,2520,4.9
340,Maruti Suzuki,Baleno,1.2,758212,1197,4,4,FWD,In-line,BS VI,37,Petrol,Hatchback,1510,3995,1745,5,21.4,5,170,5,Manual,2,890,1505,1515,25,0,2520,4.9
341,Ford,Aspire,1.2,758314,1194,4,4,FWD,In-line,BS IV,42,CNG,Sedan,1525,3995,1704,4,20.4,5,165,5,Manual,2,1016-1043 kg,1490,1540,46.25,28.24,2490,5.2
342,Maruti Suzuki,Ertiga,Lxi,759000,1462,4,4,FWD,In-line,BS VI,45,Petrol,MPV,1690,4395,1735,5,19.34,5,185,7,Manual,2,1135,1490,1540,18.75,31.36,2740,5.2
343,Ford,Aspire,1.2,762400,1194,4,4,FWD,In-line,BS IV,42,Petrol,Sedan,1525,3995,1704,4,19.4,5,165,5,Manual,2,1016-1043 kg,1490,1540,13.83,28.24,2490,5.2
344,Maruti Suzuki,Vitara Brezza,Ldi,762742,1248,4,4,FWD,In-line,BS IV,48,Diesel,SUV,1640,3995,1790,5,24.3,5,198,5,Manual,2,1170,1490,1540,13.83,114.29,2500,5.2
345,Honda,Amaze,S Cvt Petrol,763000,1199,4,4,FWD,In-line,BS VI,35,Petrol,Sedan,1501,3995,1695,4,19,5,170,5,Automatic,2,942,1490,1540,13.83,22.92,2470,4.7
346,Ford,Figo,1.5,764900,1498,4,4,FWD,In-line,BS IV,40,Diesel,Hatchback,1525,3941,1704,5,25.5,5,165,5,Manual,5,1057,1490,1540,13.83,122.86,2490,5.2
347,Toyota,Etios Cross,Gd,766000,1364,4,2,FWD,In-line,BS IV,45,Diesel,Hatchback,1555,3895,1735,5,23.59,5,174,5,Manual,2,1015,1490,1540,13.83,94.44,2460,4.8
348,Tata,Zest,Xm Diesel,767317,1248,4,4,FWD,In-line,BS IV,44,Diesel,Sedan,1570,3995,1706,4,23,5,165,5,Manual,2,1106,1450,1440,13.83,108.57,2470,5.1
349,Maruti Suzuki,Baleno,1.2,768612,1197,4,4,FWD,In-line,BS VI,37,Petrol,Hatchback,1510,3995,1745,5,21.04,5,170,5,Automatic,2,910,1515,1525,13.83,0,2520,4.9
350,Tata,Altroz,Xz (O) Petrol,769000,1199,3,4,FWD,In-line,BS VI,37,Petrol,Hatchback,1523,3990,1755,5,23,5,165,5,Manual,2,1785,1490,1540,18.75,34.24,2501,5
351,Tata,Nexon,Xm,770000,1198,3,4,FWD,In-line,BS VI,44,Petrol,SUV,1607,3994,1811,5,17.6,5,209,5,Manual,2,1785,1490,1540,18.75,113.33,2498,5.1
352,Hyundai,Elite I20,Magna Plus Crdi,770803,1396,4,4,FWD,In-line,BS IV,45,Diesel,Hatchback,1505,3985,1734,5,22.54,6,170,5,Manual,2,1510,1505,1503,13.83,146.67,2570,5.2
353,Mahindra,Verito,1.5,772617,1461,4,3,FWD,In-line,BS IV,50,Diesel,Sedan,1540,4277,1740,4,21,5,172,5,Manual,2,1140,1080,1600,13.67,80,2630,5.25
354,Mahindra,Bolero,Ex Non Ac,773678,2523,4,2,FWD,In-line,BS IV,60,Diesel,SUV,1910,4221,1745,5,15.96,5,183,7,Manual,2,1615,1490,1540,13.67,139.29,2794,5.9
355,Hyundai,Aura,1.2,773800,1186,4,4,FWD,In-line,BS VI,37,Diesel,Sedan,1520,3995,1680,5,25.35,5,165,5,Manual,2,1785,1490,1540,13.67,108.57,2450,5.2
356,Hyundai,I20 Active,1.2,774035,1197,4,4,FWD,In-line,BS IV,40,Petrol,Hatchback,1555,3995,1760,5,17.19,5,190,5,Manual,2,1785,1505,1505,18,28.5,2570,5.2
357,Tata,Altroz,Xm Diesel,775000,1497,4,4,FWD,In-line,BS VI,37,Diesel,Hatchback,1523,3990,1755,5,23,5,165,5,Manual,2,1785,1490,1540,13.83,160,2501,5
358,Volkswagen,Polo,1,776500,999,3,4,FWD,In-line,BS IV,45,Petrol,Hatchback,1469,3971,1682,5,18.78,5,165,5,Manual,2,1053,1460,1456,18.75,31.67,2469,4.97
359,Ford,Aspire,1.5,777400,1498,4,4,FWD,In-line,BS IV,40,Diesel,Sedan,1525,3995,1705,4,26.1,5,165,5,Manual,2,1053-1080 kg,1490,1540,18,122.86,2490,5.2
360,Toyota,Etios Liva,Vxd Dual Tone Limited Edition,777700,1364,4,2,FWD,In-line,BS IV,45,Diesel,Hatchback,1510,3884,1695,5,23.59,5,170,5,Manual,2,895,1468,1474,18.75,94.44,2460,4.8
